,0_n,0_l,0_s,0_p,1_n,1_l,1_s,1_p,2_n,2_l,2_s,2_p,3_n,3_l,3_s,3_p,4_n,4_l,4_s,4_p,5_n,5_l,5_s,5_p,6_n,6_l,6_s,6_p,7_n,7_l,7_s,7_p,8_n,8_l,8_s,8_p
975,CTC-428G20.6,-22.387428,-0.12723473,0.898754621164965,LINC01118,-20.090906,-0.016586399,0.9867665752940747,C1QC,-22.09988,-0.06979758,0.9443547733732993,CLEC4C,-22.284243,-0.10255558,0.9183157006927797,RIT1,0.2909597,-0.04688377,0.962605863492311,RHBDD3,0.17819527,0.09682283,0.9228670927131009,RP11-355N15.1,-19.877623,-0.008308816,0.9933706008218255,MPP6,2.0796103,0.38488865,0.7003199144723362,CDC40,0.20041174,-0.06874503,0.9451925743612395
976,TNS1,-22.49146,-0.12723473,0.898754621164965,FAM71A,-19.948698,-0.016586399,0.9867665752940747,CTD-2302E22.4,-22.123451,-0.06979758,0.9443547733732993,RP1-315G1.3,-22.54138,-0.10255558,0.9183157006927797,TMX3,-0.003687175,-0.04688377,0.962605863492311,EVA1B,0.4555128,0.093283616,0.9256782485691164,CTD-2506J14.1,-19.96892,-0.008308816,0.9933706008218255,PKN2,0.14968455,0.3827439,0.7019096746103799,WDR91,-24.196169,-0.06977621,0.9443717864650307
977,TGFB1I1,-22.652521,-0.12723473,0.898754621164965,RP13-143G15.4,-20.231586,-0.016586399,0.9867665752940747,DMPK,-22.005173,-0.06979758,0.9443547733732993,WDFY3,-22.47507,-0.10255558,0.9183157006927797,WDYHV1,-0.062805034,-0.04688377,0.962605863492311,AC022532.1,3.8743238,0.092230275,0.9265150829209403,RP11-91A18.4,-19.93741,-0.008308816,0.9933706008218255,SLC27A1,1.4585303,0.38079408,0.703356044192391,ZNF528,-24.228804,-0.06977621,0.9443717864650307
978,PLA2G4C,-22.362255,-0.12723473,0.898754621164965,RP11-816J6.3,-19.95522,-0.016586399,0.9867665752940747,PVALB,-22.155539,-0.06979758,0.9443547733732993,LY6G6F,-23.01526,-0.10255558,0.9183157006927797,PUM1,0.12959428,-0.047683574,0.961968424929926,UBE2E2-AS1,2.0392542,0.09214601,0.9265820331935342,CREB3L1,-20.086552,-0.008308816,0.9933706008218255,ZNF747,1.0736848,0.3788443,0.7048034880569856,NOG,-24.126705,-0.06977621,0.9443717864650307
979,CRIP3,-22.364428,-0.12723473,0.898754621164965,RP11-203B7.2,-20.268883,-0.016586399,0.9867665752940747,RP11-408A13.4,-21.94708,-0.06979758,0.9443547733732993,DNASE1L3,-22.753029,-0.10255558,0.9183157006927797,MRPL1,0.18016022,-0.04810252,0.9616345382162313,RP11-672A2.6,2.049224,0.09214601,0.9265820331935342,LINC00618,-19.757715,-0.008308816,0.9933706008218255,WARS2,1.0684805,0.3788443,0.7048034880569856,LRIG2,-24.173235,-0.06977621,0.9443717864650307
980,YES1,-22.83116,-0.12723473,0.898754621164965,RP11-88H9.2,-20.366522,-0.016586399,0.9867665752940747,FCGBP,-21.921808,-0.06979758,0.9443547733732993,SPATA7,-22.3672,-0.10255558,0.9183157006927797,CCDC153,-21.440706,-0.049054667,0.9608757298916909,RP11-274B21.8,2.1623313,0.09214601,0.9265820331935342,MYBPC3,-19.816425,-0.008308816,0.9933706008218255,FGFBP2,-1.2393523,0.37718698,0.7060346564796589,PCDH9,-24.303349,-0.06977621,0.9443717864650307
981,CXCR1,-22.58672,-0.12723473,0.898754621164965,RP11-379F4.4,-19.966995,-0.016586399,0.9867665752940747,GPR55,-21.813179,-0.06979758,0.9443547733732993,SEC31A,0.011040552,-0.10303447,0.9179356172867638,AC007879.7,-21.748713,-0.049054667,0.9608757298916909,RP11-46H11.12,2.412953,0.09214601,0.9265820331935342,PRSS22,-19.801079,-0.008308816,0.9933706008218255,MFSD10,-0.4377862,0.37669954,0.7063969114840285,ARSD,-24.166899,-0.06977621,0.9443717864650307
982,ZBED5-AS1,-0.041030258,-0.12770455,0.8983827875130637,CTA-331P3.1,-20.239023,-0.016586399,0.9867665752940747,RP11-141B14.1,-22.209549,-0.06979758,0.9443547733732993,PYGO2,-0.16877256,-0.104765825,0.916561626680019,HIST1H4I,-21.452219,-0.049054667,0.9608757298916909,MAP2,1.770253,0.09214601,0.9265820331935342,RAB6C,-19.77948,-0.008308816,0.9933706008218255,IL8,-0.17928201,0.3703627,0.711112253269516,C8orf44,-24.163044,-0.06977621,0.9443717864650307
983,GRPEL1,-0.028603496,-0.13075842,0.8959664161630111,RP11-242F4.2,-19.945917,-0.016586399,0.9867665752940747,PLXNA1,-21.975363,-0.06979758,0.9443547733732993,KLF11,-0.043774467,-0.104765825,0.916561626680019,RP13-270P17.1,-21.644312,-0.049054667,0.9608757298916909,FAM27A,1.883641,0.09214601,0.9265820331935342,ZNF560,-19.712622,-0.008308816,0.9933706008218255,FAM98A,0.9793515,0.37007025,0.7113301531658105,ABCC10,-24.234251,-0.07218228,0.9424568458656489
984,MBNL1-AS1,-0.7611399,-0.13199171,0.8949908461049176,RAB6C,-20.011856,-0.016586399,0.9867665752940747,C1orf186,-22.097582,-0.06979758,0.9443547733732993,ZNF121,-0.7627841,-0.10517104,0.9162400902472778,CACNA1C-AS1,-21.644196,-0.049054667,0.9608757298916909,RP11-138I1.2,2.352035,0.09214601,0.9265820331935342,PRSS27,-20.086552,-0.008308816,0.9933706008218255,RAD51B,1.1737922,0.36987525,0.7114754328673532,PLD6,-24.28121,-0.07218228,0.9424568458656489
985,SYCE1,-1.2660326,-0.13219726,0.8948282664942374,CTD-2325A15.5,-19.990578,-0.016586399,0.9867665752940747,KDM4A-AS1,-21.901747,-0.06979758,0.9443547733732993,IL1RAP,-0.73395133,-0.10517104,0.9162400902472778,SUOX,-21.740574,-0.049054667,0.9608757298916909,EPB41L4A,2.2882924,0.09214601,0.9265820331935342,RP11-304L19.2,-19.75674,-0.008308816,0.9933706008218255,ACTR6,0.19008534,0.36695057,0.7136558830360935,DHX34,-24.232182,-0.07218228,0.9424568458656489
986,LUC7L,-0.107266635,-0.1324909,0.8945960175726062,LBX2,-20.007854,-0.016586399,0.9867665752940747,RP11-502I4.3,-21.874115,-0.06979758,0.9443547733732993,AAR2,0.06627277,-0.105797276,0.9157431972764658,VIL1,-21.6693,-0.049054667,0.9608757298916909,TRAPPC3L,1.9992075,0.09214601,0.9265820331935342,RP11-700J17.2,-19.873085,-0.008308816,0.9933706008218255,ISG20L2,-0.1398051,0.3665606,0.713946786979519,AGO4,-24.184462,-0.07218228,0.9424568458656489
987,CCP110,0.024322374,-0.13357738,0.8937367752794774,RP11-382A18.2,-19.944994,-0.016586399,0.9867665752940747,ATP9A,-22.081564,-0.06979758,0.9443547733732993,RP11-468E2.4,-0.11342031,-0.106607705,0.9151002082099181,RP11-10K16.1,-21.598192,-0.049054667,0.9608757298916909,AC093901.1,2.331732,0.09214601,0.9265820331935342,RP11-302F12.10,-19.865768,-0.008308816,0.9933706008218255,OXLD1,-0.42821202,0.36617067,0.7142377325086815,AP4S1,-24.130316,-0.07218228,0.9424568458656489
988,FOPNL,0.028631488,-0.13530986,0.8923668905157778,LEFTY1,-20.089243,-0.016586399,0.9867665752940747,ARHGAP6,-22.191578,-0.06979758,0.9443547733732993,SNAP47,0.21214193,-0.10704975,0.9147495102879787,TEX12,-21.659323,-0.049054667,0.9608757298916909,TMEM87B,-0.043471903,0.08919667,0.92892561688126,AC012499.1,-20.134115,-0.008308816,0.9933706008218255,GBP4,0.20289579,0.36519578,0.7149652780177675,LIN52,-24.073837,-0.07218228,0.9424568458656489
989,SPIN1,-0.44115448,-0.13566223,0.8920883090497006,ACTA2-AS1,-19.947308,-0.016586399,0.9867665752940747,ARHGAP11A,-22.205376,-0.06979758,0.9443547733732993,CEP85L,-0.104347914,-0.10789701,0.9140773857143903,WNT5B,-21.649477,-0.049054667,0.9608757298916909,ANTXR2,-0.26708466,0.08746919,0.930298574971066,RP4-761J14.8,-19.736998,-0.008308816,0.9933706008218255,DICER1,-0.001008715,0.36461082,0.7154019297163342,TTN-AS1,-24.19087,-0.07218228,0.9424568458656489
990,TSC22D1,-0.57857174,-0.13575032,0.8920186657626009,MIR1-2,-20.136055,-0.016586399,0.9867665752940747,RP11-493L12.4,-22.195717,-0.06979758,0.9443547733732993,EXOC6,-0.1455756,-0.10844958,0.9136390766727991,IFT81,-21.608665,-0.049054667,0.9608757298916909,IL24,0.7227048,0.08746919,0.930298574971066,RP11-783K16.13,-20.032946,-0.008308816,0.9933706008218255,TAOK2,0.997657,0.36129618,0.7178780447774029,PDIK1L,-24.2573,-0.07218228,0.9424568458656489
991,TMTC2,-1.3038337,-0.13856928,0.8897905232025299,CHST8,-20.366522,-0.016586399,0.9867665752940747,C2CD4D,-22.420038,-0.06979758,0.9443547733732993,PEX26,0.35510054,-0.11117555,0.9114771390068835,CTD-2227I18.1,-21.584677,-0.049054667,0.9608757298916909,OAT,-0.44120628,0.087089986,0.9305999839264848,RGPD8,-19.83935,-0.008308816,0.9933706008218255,NSA2,-0.3146179,0.3609062,0.7181695479575658,PSMC6,0.47962016,-0.07338532,0.94149949958316
992,CEP128,-1.6774141,-0.138628,0.8897441127589013,LINC00618,-19.99009,-0.016586399,0.9867665752940747,FAM210B,-0.08401338,-0.07104459,0.9433622722939826,SLC4A7,-0.037836246,-0.11460144,0.9087610401590572,RP4-781K5.2,-21.825848,-0.049054667,0.9608757298916909,IQCH-AS1,0.11888199,0.08662652,0.930968386163355,RP11-535M15.1,-19.756252,-0.008308816,0.9933706008218255,BMPR2,0.8231538,0.3609062,0.7181695479575658,HCFC2,-24.264324,-0.07458836,0.940542237816562
993,CISD1,-0.10389014,-0.13865736,0.8897209076787684,NUPR1,-20.291983,-0.016586399,0.9867665752940747,TIMMDC1,0.088968046,-0.07208376,0.9425352551606963,TUBG2,-22.585371,-0.11537503,0.908147873946787,RNASE3,-21.45492,-0.049054667,0.9608757298916909,URB2,0.28995937,0.08637372,0.9311693390773185,RP11-554A11.8,-19.772987,-0.008308816,0.9933706008218255,SLC25A12,0.603457,0.3609062,0.7181695479575658,BAG4,-24.260408,-0.07458836,0.940542237816562
994,ACPP,-1.746413,-0.13874546,0.8896512930053313,MYBPC3,-20.048805,-0.016586399,0.9867665752940747,RP11-5C23.1,-0.3737301,-0.073677145,0.9412672828450771,ACVR2A,-22.667376,-0.11537503,0.908147873946787,CTC-444N24.6,-21.777802,-0.049054667,0.9608757298916909,RP11-162G10.5,-0.034895577,0.08637372,0.9311693390773185,HBA2,-19.905142,-0.008308816,0.9933706008218255,DEXI,-0.1856115,0.35778657,0.7205030471849267,RP11-428G5.5,-24.429056,-0.07458836,0.940542237816562
995,CXCL10,-1.9245229,-0.13886292,0.889558474764391,CTF1,-20.271015,-0.016586399,0.9867665752940747,GFI1B,-0.73769224,-0.07374643,0.9412121569672991,SH3BGRL2,-22.786268,-0.11537503,0.908147873946787,GATA2,-21.800158,-0.049054667,0.9608757298916909,IQCE,0.24889916,0.08637372,0.9311693390773185,RP11-354M20.3,-19.763594,-0.008308816,0.9933706008218255,SLA,-0.2191323,0.35661668,0.721378782330401,TMEM62,-24.132248,-0.07458836,0.940542237816562
996,AC092295.7,-2.103664,-0.1390391,0.8894192502419083,CREB3L1,-20.318954,-0.016586399,0.9867665752940747,FAM63B,-0.2659944,-0.07402354,0.9409916562751947,FBXL14,-22.547722,-0.11537503,0.908147873946787,RP11-215G15.5,-21.361862,-0.049054667,0.9608757298916909,CLSTN3,-0.1143967,0.08477265,0.932442142236935,LINC01118,-19.858522,-0.008308816,0.9933706008218255,AC113189.5,0.63059855,0.35661668,0.721378782330401,PPP2R1B,-24.211721,-0.07458836,0.940542237816562
997,SEPT5,-2.7623498,-0.13915657,0.8893264357880364,CTD-2358C21.4,-20.00288,-0.016586399,0.9867665752940747,CTB-113I20.2,-1.2113045,-0.07402354,0.9409916562751947,S100P,-22.878225,-0.11537503,0.908147873946787,SAMD14,-21.775835,-0.049054667,0.9608757298916909,YEATS2,-0.12941387,0.084435575,0.9327101229199611,RP4-545C24.1,-19.906027,-0.008308816,0.9933706008218255,CCP110,0.6244261,0.3564217,0.7215247737441555,TNRC18,-24.230902,-0.07458836,0.940542237816562
998,DLST,0.017228553,-0.13962638,0.8889551931553535,RP11-481J2.2,-20.067413,-0.016586399,0.9867665752940747,OSBPL1A,-1.1028243,-0.07402354,0.9409916562751947,REPS2,-22.500425,-0.11537503,0.908147873946787,C15orf26,-21.686487,-0.049054667,0.9608757298916909,SLBP,-0.18620338,0.08409851,0.932978111229972,LEFTY1,-19.856861,-0.008308816,0.9933706008218255,ZNF559,1.2847381,0.353887,0.7234235836432507,SLC19A1,-24.054684,-0.07458836,0.940542237816562
999,UNC45A,-0.2310963,-0.14232789,0.8868210230810722,RP11-317G6.1,-20.067413,-0.016586399,0.9867665752940747,TRAPPC12-AS1,-1.1952698,-0.074162096,0.9408814076242309,HIST1H1B,-22.826994,-0.11537503,0.908147873946787,LNP1,-21.670456,-0.049054667,0.9608757298916909,ICOSLG,-0.19515604,0.08376144,0.9332461071367362,CCDC11,-19.797993,-0.008308816,0.9933706008218255,TYW5,1.0147418,0.35252213,0.7244467262260244,ATP10D,-24.291794,-0.076994434,0.9386279733421093
1000,SAMD1,0.009039892,-0.1429739,0.8863107990420077,MICALCL,-21.24172,-0.016586399,0.9867665752940747,ARHGAP24,0.17585929,-0.07447384,0.9406333523048083,ZNF503,-22.568523,-0.11537503,0.908147873946787,RP13-314C10.5,-21.602182,-0.049054667,0.9608757298916909,PRKACB,-0.14608894,0.08367717,0.933313107296877,NUPR1,-20.059582,-0.008308816,0.9933706008218255,RABL2A,0.75468624,0.35232714,0.7245929296865228,PTGDS,-24.608797,-0.076994434,0.9386279733421093
1001,RASD1,-0.8462201,-0.14332627,0.8860325148693382,RP1-59D14.1,-20.234957,-0.016586399,0.9867665752940747,DDX17,-0.019164357,-0.07537446,0.9399167804840218,SCGB1C1,-22.833458,-0.11537503,0.908147873946787,ANKRD50,-21.728268,-0.049054667,0.9608757298916909,SEPT11,-0.36850536,0.08300304,0.9338491255459792,RP11-203B7.2,-20.036484,-0.008308816,0.9933706008218255,GNG11,0.410173,0.35213217,0.7247391431910197,PRR5L,-24.306128,-0.076994434,0.9386279733421093
1002,RP11-66N24.3,-0.78219277,-0.14356117,0.8858469998932756,RP3-337O18.9,-20.273869,-0.016586399,0.9867665752940747,CRLS1,0.06693555,-0.07672538,0.9388420141364142,ATAD3C,-22.732954,-0.11537503,0.908147873946787,NEDD4,-21.695923,-0.049054667,0.9608757298916909,CTD-2012J19.3,2.8175185,0.08148623,0.9350552759031823,RP1-59D14.1,-20.002562,-0.008308816,0.9933706008218255,HMG20A,0.68247885,0.35213217,0.7247391431910197,OSBPL7,-24.393654,-0.076994434,0.9386279733421093
1003,ST7L,-0.18552129,-0.14394291,0.885545551405084,RGS6,-20.366522,-0.016586399,0.9867665752940747,TYW5,-0.40807602,-0.07838805,0.9375193779104875,CCDC66,0.13899902,-0.11552238,0.9080310865760345,TDRP,-21.759178,-0.049054667,0.9608757298916909,MEG3,2.1205587,0.08140196,0.9351222886532142,CTA-989H11.1,-19.722847,-0.008308816,0.9933706008218255,EDC3,0.99142957,0.35213217,0.7247391431910197,TADA2A,-24.17805,-0.076994434,0.9386279733421093
1004,PDXDC1,-0.1347234,-0.14473574,0.8849195190575423,FAM83C-AS1,-20.043568,-0.016586399,0.9867665752940747,TANGO6,-0.37746558,-0.07880372,0.9371887456452992,YPEL3,0.070154965,-0.11570656,0.9078851051584603,ADIPOR2,0.051419664,-0.0500449,0.9600866068397538,OMG,1.4900181,0.08131769,0.9351893018629219,AC015849.2,-19.805988,-0.008308816,0.9933706008218255,ANKRD54,-0.051337287,0.35164472,0.7251047208628001,SNX20,0.28517163,-0.07819747,0.9376709733888534
1005,RP11-701P16.5,-22.678175,-0.14541112,0.8843862888869352,NLGN2,-20.301598,-0.016586399,0.9867665752940747,EOGT,-0.9257542,-0.078873,0.9371336413191584,ORC2,-0.36751282,-0.116222285,0.9074763737557867,ABHD12,0.079539366,-0.050121073,0.9600259066764224,FAM209A,1.447705,0.08131769,0.9351893018629219,SEMA3D,-19.719114,-0.008308816,0.9933706008218255,PHF12,0.08712735,0.35164472,0.7251047208628001,SLC27A1,-24.319536,-0.07940051,0.9367140634606742
1006,SLC22A4,-22.700207,-0.14541112,0.8843862888869352,CTC-297N7.1,-19.96747,-0.016586399,0.9867665752940747,RMND5A,0.034017272,-0.079080835,0.9369683301483768,DCP2,-0.0038429382,-0.11714322,0.9067465572536514,CEP164,0.121794894,-0.05050193,0.9597224093429141,CASC4,-0.27358654,0.08131769,0.9351893018629219,RP11-285J16.1,-19.797224,-0.008308816,0.9933706008218255,WHAMM,0.9675281,0.3482326,0.7276655150144322,ZNF747,-24.348503,-0.07940051,0.9367140634606742
1007,PROK2,-22.952913,-0.14541112,0.8843862888869352,RP11-1096G20.5,-20.264637,-0.016586399,0.9867665752940747,PITPNM1,-0.12517326,-0.08192123,0.9347093527849787,TREML1,-1.3386142,-0.11846937,0.9056957599598237,RASD1,0.83168805,-0.05050193,0.9597224093429141,RP11-211G3.2,0.97753143,0.08131769,0.9351893018629219,PCDH9-AS1,-20.021742,-0.008308816,0.9933706008218255,CTD-2267D19.2,0.90251106,0.3480376,0.7278119383164825,GBGT1,-24.380749,-0.07940051,0.9367140634606742
1008,BIRC5,-22.455273,-0.14541112,0.8843862888869352,ACTN1-AS1,-19.948233,-0.016586399,0.9867665752940747,CAMK2G,-0.09876066,-0.08264865,0.9341309180048216,FEM1B,-0.11139835,-0.12108484,0.9036238397435193,ZNF561,-0.039793774,-0.05164451,0.9588119525427242,MAP1A,1.2490133,0.08131769,0.9351893018629219,CTD-2325A15.5,-19.758204,-0.008308816,0.9933706008218255,LRRK2,1.3070853,0.34784263,0.7279583715551616,WARS2,-24.373238,-0.07940051,0.9367140634606742
1009,LY6G6F,-23.192665,-0.14541112,0.8843862888869352,RP11-304M2.5,-20.042526,-0.016586399,0.9867665752940747,CTD-2012K14.7,-22.069191,-0.083757095,0.9332495605480604,TGFBRAP1,-0.96017176,-0.12207945,0.9028360978459214,DMTN,-0.65331686,-0.0519492,0.9585691730868736,PLIN5,1.1812909,0.08131769,0.9351893018629219,AC073641.2,-19.87252,-0.008308816,0.9933706008218255,PHACTR4,0.45049837,0.34755015,0.7281780400336556,MPP6,-24.411394,-0.07940051,0.9367140634606742
1010,RP11-960L18.1,-22.81824,-0.14541112,0.8843862888869352,AC015849.2,-20.038366,-0.016586399,0.9867665752940747,SLC4A8,-21.959526,-0.083757095,0.9332495605480604,ATF7IP2,0.0924863,-0.12366346,0.9015817437005337,CCP110,-0.12502341,-0.053091776,0.9576587845353978,ZNF425,1.2611445,0.08131769,0.9351893018629219,AP000282.2,-20.032946,-0.008308816,0.9933706008218255,RIOK1,-0.15530375,0.3462828,0.7291301945958448,CTC-444N24.11,-24.370533,-0.07940051,0.9367140634606742
1011,MYO1E,-22.662779,-0.14541112,0.8843862888869352,RP11-354M20.3,-19.995968,-0.016586399,0.9867665752940747,LGALSL,-22.29916,-0.083757095,0.9332495605480604,VPS13C,-0.007141391,-0.12414235,0.9012025685785826,NONO,0.08422899,-0.05427244,0.9567181077284099,C10orf25,1.6230173,0.08131769,0.9351893018629219,CHRM3,-19.746086,-0.008308816,0.9933706008218255,FUS,-0.10608027,0.34326062,0.7314024011833788,RHBDD3,-24.328205,-0.07940051,0.9367140634606742
1012,CLEC4C,-22.461332,-0.14541112,0.8843862888869352,CST11,-19.973663,-0.016586399,0.9867665752940747,ITGB3,-22.500057,-0.083757095,0.9332495605480604,TCEAL4,-0.022436826,-0.1245844,0.9008525807788882,NPHP3,0.23982446,-0.05453904,0.9565057051316255,WDR55,-0.25711873,0.08102276,0.9354238517100202,CHST8,-20.134115,-0.008308816,0.9933706008218255,DAGLB,0.5793441,0.33906856,0.7345580721736682,GPR35,-24.21184,-0.07940051,0.9367140634606742
1013,WDFY3,-22.65223,-0.14541112,0.8843862888869352,CTD-2506J14.1,-20.201313,-0.016586399,0.9867665752940747,RP11-219B4.7,-22.32294,-0.083757095,0.9332495605480604,C16orf58,-0.23009981,-0.1248791,0.9006192662828135,IP6K1,0.051755622,-0.055719703,0.9555651023901579,FAM98A,-0.07416756,0.074154995,0.9408870546768953,RP1-111C20.3,-19.733673,-0.008308816,0.9933706008218255,JUND,-0.21964306,0.3387761,0.7347784033386615,ARMCX5,-24.38247,-0.081806585,0.9348005191844937
1014,FAXDC2,-23.130213,-0.14541112,0.8843862888869352,RP11-76E12.1,-20.045397,-0.016586399,0.9867665752940747,RP11-545I5.3,-22.283457,-0.083757095,0.9332495605480604,SMIM7,0.056161877,-0.12524748,0.9003276352394713,LAMP3,0.88185185,-0.05613865,0.9552313549330698,ARL2,-0.24766436,0.07301739,0.9417922779634678,MIR1-2,-19.903667,-0.008308816,0.9933706008218255,PF4,0.3973915,0.3359489,0.7369093943303195,CLSTN3,-24.446825,-0.081806585,0.9348005191844937
1015,PJA1,-0.37255067,-0.14761342,0.882647859877302,CYP46A1,-20.402922,-0.016586399,0.9867665752940747,PDZK1IP1,-22.6195,-0.083757095,0.9332495605480604,ATP5SL,0.02409631,-0.12760507,0.8984615168357317,CDC42BPB,-0.58865255,-0.056443337,0.9549886344365495,CD2AP,-0.12812912,0.07213259,0.9424963925663452,FAM83C-AS1,-19.81119,-0.008308816,0.9933706008218255,CISH,-0.29554597,0.32990456,0.7414720792485194,MTRF1,-24.443293,-0.081806585,0.9348005191844937
1016,SDPR,-1.01733,-0.14966892,0.8810258357743405,ARHGDIG,-20.516891,-0.016586399,0.9867665752940747,ENKUR,-22.265831,-0.083757095,0.9332495605480604,RMND5A,-0.18121664,-0.12808396,0.8980825297930636,POLDIP2,0.1927564,-0.05659568,0.9548672757521983,RP11-215G15.5,2.6779892,0.07074218,0.9436029489575124,YJEFN3,-19.72472,-0.008308816,0.9933706008218255,ZNF468,0.69426847,0.3297096,0.7416194150622277,ICOSLG,-24.511126,-0.081806585,0.9348005191844937
1017,DENND1C,0.052099776,-0.14993319,0.8808173258747413,CELF6-1,-20.038885,-0.016586399,0.9867665752940747,RP11-314N13.3,-22.354465,-0.083757095,0.9332495605480604,ESAM,-23.113682,-0.12819447,0.897995074542781,CLEC1B,-1.2592524,-0.056748025,0.9547459181141965,WNT5B,1.021557,0.07057365,0.943737084443671,PDIA2,-19.771,-0.008308816,0.9933706008218255,NELFB,0.6790192,0.3295146,0.7417667603479388,BACE2,-24.5811,-0.081806585,0.9348005191844937
1018,ITGA2B,-1.7301803,-0.15078475,0.880145516915146,ZNF560,-19.944994,-0.016586399,0.9867665752940747,TTC30A,-22.11371,-0.083757095,0.9332495605480604,EGFL7,-22.853025,-0.12819447,0.897995074542781,LZTS2,-1.209974,-0.056900367,0.9546245615253517,LNP1,1.4523833,0.07057365,0.943737084443671,ZNF132,-19.752365,-0.008308816,0.9933706008218255,BOLA3,-0.40100548,0.32931963,0.7419141151006592,JAKMIP1,-24.404217,-0.081806585,0.9348005191844937
1019,PLRG1,0.060759764,-0.15134268,0.8797054129569238,RP11-355N15.1,-20.110006,-0.016586399,0.9867665752940747,ANKS1B,-22.325054,-0.083757095,0.9332495605480604,PUS7,-22.842222,-0.12819447,0.897995074542781,ZCCHC10,0.13897583,-0.05773826,0.9539571191658376,AK4,1.1878067,0.07048938,0.9438041527852719,RP11-304M2.5,-19.810146,-0.008308816,0.9933706008218255,MINA,0.16495231,0.32892966,0.7422088529871516,YEATS2,-24.42372,-0.081806585,0.9348005191844937
1020,PEX16,-0.043819826,-0.1517244,0.879404310598329,MYZAP,-19.956623,-0.016586399,0.9867665752940747,LINC00494,-22.23864,-0.083757095,0.9332495605480604,SERAC1,-22.931423,-0.12819447,0.897995074542781,LIN52,0.6585639,-0.057776343,0.9539267816404345,IFT81,0.9026995,0.07048938,0.9438041527852719,C11orf85,-19.784256,-0.008308816,0.9933706008218255,RP5-1028K7.2,2.1245985,0.32795477,0.7429458630263375,ASGR1,-1.4292417,-0.08232217,0.9343905226054379
1021,ZNF333,-0.43940538,-0.15313388,0.8782926994444393,CTC-548K16.1,-20.115717,-0.016586399,0.9867665752940747,COLGALT2,-22.307194,-0.083757095,0.9332495605480604,C2orf88,-23.252619,-0.12819447,0.897995074542781,AGO4,-0.22257172,-0.05846189,0.9533807176410554,TMPRSS11E,0.71404284,0.07048938,0.9438041527852719,AC017002.2,-19.788048,-0.008308816,0.9933706008218255,CCDC174,-0.29469272,0.32542005,0.744863190528623,ACADM,-1.362628,-0.083868936,0.9331606377111171
